City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mahebourg,MU,22.16,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
8,Rikitea,PF,23.71,overcast clouds,-23.12,-134.97,People ThankYou
11,Caravelas,BR,22.51,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
13,Dingle,PH,24.63,light rain,11.0,122.67,SEGAYA PROPERTY
17,Santiago Del Estero,AR,24.34,broken clouds,-27.8,-64.26,Apartamentos Castelli 90
23,Bambous Virieux,MU,22.14,light rain,-20.34,57.76,Casa Tia Villa
39,Korhogo,CI,22.71,light rain,9.45,-5.63,Hôtel Non Stop
45,Pipri,IN,23.26,few clouds,19.8,75.53,Ajay Patekar home
54,Karratha,AU,22.43,clear sky,-20.74,116.85,ibis Styles Karratha
66,Port Said,EG,24.99,clear sky,31.26,32.28,Aracan Hotel
80,Tura,IN,22.89,clear sky,25.52,90.22,Hotel RIKMAN Continental
88,Poum,NC,23.7,few clouds,-20.23,164.02,Gîte kajeon
107,Puerto Ayora,EC,24.98,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
124,Dalby,AU,23.32,overcast clouds,-27.18,151.27,Kobbers Motor Inn Dalby
126,Sao Miguel Do Iguacu,BR,23.69,overcast clouds,-25.35,-54.24,Hotel Itaguaçu
140,Iseyin,NG,22.85,light rain,7.97,3.6,Momak Hotels And Suites
146,Bengkulu,ID,23.91,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
155,Ponta Do Sol,PT,22.78,few clouds,32.67,-17.1,Hotel do Campo
158,Kumano,JP,22.19,clear sky,34.34,132.59,ホテル コラソン
172,Wajima,JP,23.5,light rain,37.4,136.9,Wajiima Onsen Yashio
174,Myitkyina,MM,23.66,few clouds,25.38,97.4,Shwe Phyu Hotel
188,Grand Gaube,MU,22.22,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
191,Souillac,MU,22.21,light rain,-20.52,57.52,Bils' Villa
192,Tucuman,AR,25.0,clear sky,-26.82,-65.22,HOTEL MIAMI
193,Hasaki,JP,22.38,scattered clouds,35.73,140.83,Hotel Sunrise Choshi
204,Huilong,CN,22.24,overcast clouds,31.81,121.66,Hilton Garden Inn Qidong
215,Paragominas,BR,23.97,broken clouds,-2.97,-47.48,INOVA
223,Kazerun,IR,23.11,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
226,Champasak,LA,22.57,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
241,Belmonte,BR,23.28,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
243,Camacupa,AO,22.39,broken clouds,-12.02,17.48,seviremde seni
261,Yeppoon,AU,22.88,clear sky,-23.13,150.73,Villa Mar Colina
264,Quelimane,MZ,24.97,light rain,-17.88,36.89,Hotel Flamingo
271,Atambua,ID,23.81,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
280,Kusti,SD,24.92,overcast clouds,13.16,32.66,فندق الكوباري - Kobari Hotel
292,Puerto Del Rosario,ES,22.86,scattered clouds,28.5,-13.86,Hotel JM Puerto del Rosario
295,Denpasar,ID,22.81,few clouds,-8.65,115.22,OYO 2225 Catur Adi Putra
308,Ende,ID,24.57,broken clouds,-8.84,121.66,Dwi Putra Hotel - Ende
316,San Felipe,VE,24.75,broken clouds,10.34,-68.74,Posada Llovizna Rodríguez
323,Havelock,US,24.0,overcast clouds,34.88,-76.9,Sherwood Motel
324,Barabai,ID,22.84,overcast clouds,-2.58,115.38,Joko Homestay
325,Pozo Colorado,PY,22.89,overcast clouds,-23.49,-58.8,Hospedaje la Amistad
327,Karad,IN,22.83,overcast clouds,17.28,74.2,Hotel Sugam Lodging
331,Kluang,MY,24.85,overcast clouds,2.03,103.33,Hotel Anika
354,Katsuura,JP,23.99,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
363,Bitung,ID,24.47,overcast clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
366,Manta,EC,22.88,broken clouds,-0.95,-80.73,Balandra Hotel
377,Saint George,US,24.26,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
395,That Phanom,TH,23.21,light rain,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
413,Malanje,AO,22.53,broken clouds,-9.54,16.34,Malanje Hotel
422,Axim,GH,24.67,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
427,Sibu,MY,24.17,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
