,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.60,-73.97,17.79,82,92,1.95,overcast clouds
1,Hami,CN,42.80,93.45,8.39,26,3,3.34,clear sky
2,Landskrona,SE,55.87,12.83,10.01,68,70,5.68,broken clouds
3,Mahebourg,MU,-20.41,57.70,22.16,100,75,5.14,light rain
4,Ribeira Grande,PT,38.52,-28.70,21.42,90,100,10.47,overcast clouds
5,Ushuaia,AR,-54.80,-68.30,9.81,40,40,5.66,light rain
6,Pustoshka,RU,56.34,29.37,3.16,88,62,2.34,broken clouds
7,Talnakh,RU,69.49,88.40,-5.09,97,94,2.5,light snow
8,Rikitea,PF,-23.12,-134.97,23.71,81,98,8.52,overcast clouds
9,Avarua,CK,-21.21,-159.78,25.03,73,100,4.63,overcast clouds
10,Thompson,CA,55.74,-97.86,12.09,66,40,1.54,scattered clouds
11,Caravelas,BR,-17.71,-39.25,22.51,91,99,3.03,overcast clouds
12,Pahrump,US,36.21,-115.98,25.7,18,0,0.45,clear sky
13,Dingle,PH,11.00,122.67,24.63,94,93,4.2,light rain
14,Yellowknife,CA,62.46,-114.35,3.01,100,90,7.2,light rain
15,Mar Del Plata,AR,-38.00,-57.56,15.05,58,0,4.92,clear sky
16,Punta Arenas,CL,-53.15,-70.92,10.06,43,20,13.89,few clouds
17,Santiago Del Estero,AR,-27.80,-64.26,24.34,51,61,4.99,broken clouds
18,Vaini,TO,-21.20,-175.20,25.09,83,75,3.6,broken clouds
19,Vilcun,CL,-38.65,-72.23,10.41,71,49,1.73,scattered clouds
20,Mataura,NZ,-46.19,168.86,9.15,91,100,1.36,light rain
21,Jilin,CN,43.00,126.00,3.71,67,0,1.05,clear sky
22,Kapaa,US,22.08,-159.32,28.18,72,1,2.68,light rain
23,Bambous Virieux,MU,-20.34,57.76,22.14,100,75,5.14,light rain
24,Channel-Port Aux Basques,CA,47.57,-59.14,10.6,82,14,5.92,few clouds
25,Hobart,AU,-42.88,147.33,10.59,60,20,0.89,few clouds
26,Busselton,AU,-33.65,115.33,13.38,70,97,7.59,overcast clouds
27,Vorotynsk,RU,54.43,36.05,-1.6,80,6,1.34,clear sky
28,Amlagora,IN,22.83,87.33,25.17,83,14,2.71,few clouds
29,Bousso,TD,10.48,16.71,22.63,87,98,3.2,overcast clouds
